name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
"Barilla pesto szósz bazsalikommal, petrezselyemmel, rukkolával 190 g",,,8076809545396.0,False,only_in_file2
Barna nád kristálycukor 500 g,,,9012501006536.0,False,only_in_file2
Basilur Premium Assam fekete tea 25 filter 50 g,,,4792252937093.0,False,only_in_file2
Basilur The island of tea Gold fekete tea 25 filter 50 g,,,4792252917224.0,False,only_in_file2
Basilur The island of tea Special fekete tea 25 filter 50 g,,,4792252917217.0,False,only_in_file2
Beba ExpertPro HA Start tejalapú anyatej-helyettesítő tápszer 0 hó+ 600 g,,,7613033033254.0,False,only_in_file2
Beba Optipro 1 tejalapú anyatej-helyettesítő tápszer 0 hó+ 600 g,,,8445291667211.0,False,only_in_file2
Beba Optipro 3 Junior tejalapú anyatej-kiegészítő tápszer 12. hó+ 600 g,,,7613035309982.0,False,only_in_file2
Beba Optipro 4 Junior Tejalapú italpor vitaminokkal és ásványi anyagokkal 2 év+ 600 g,,,7613035312913.0,False,only_in_file2
"Beefeater Pink alkoholos üdítőital ginből és tonikból 4,9% 0,25 l",,,5998829900999.0,False,only_in_file2
"Beefeater alkoholos üdítőital ginből és tonikból 4,9% 0,25 l",,,5998829900883.0,False,only_in_file2
"Belvedere vodka 40% 0,7 l",,,5999575710023.0,False,only_in_file2
Belvita Soft Bakes gabonás keksz csokoládédarabokkal 250 g,,,7622210487889.0,False,only_in_file2
"Belvita erdei gyümölcsös, gabonás keksz 6 x 50 g (300 g)",,,7622210346735.0,False,only_in_file2
Belvita gabonás keksz epres töltelékkel 250 g,,,7622210833099.0,False,only_in_file2
"Belvita kakaós, gabonás keksz csokoládédarabokkal 6 x 50 g (300 g)",,,7622300443269.0,False,only_in_file2
Ben & Jerry's Poharas Jégkrém Half Baked 465 ml,,,8711327371002.0,False,only_in_file2
Ben&Jerry's Poharas Brookies&Cream 465 ml,,,8711327666481.0,False,only_in_file2
Benei sós teasütemény 250 g,,,5997944705021.0,False,only_in_file2
Ben´s Original szósz chili con carne-hoz 400 g,,,4002359017063.0,False,only_in_file2
Bergen brownie ízű töltelékkel töltött csokoládés keksz 130 g,,,5902379921632.0,False,only_in_file2
"Bergen kakaós keksz tejes krémmel töltve, keksz darabos tejes bevonattal 128 g",,,5902379114690.0,False,only_in_file2
Bergen sós karamellel töltött tejcsokoládé darabos keksz 130 g,,,5902379384666.0,False,only_in_file2
Bersi Snack magyaros kolbász ízű snack 60 g,,,8594001190768.0,False,only_in_file2
"Bertolli Calabrese pesto szósz piros paprikával, ricottával és extra szűz olívaolajjal 185 g",,,8712247232978.0,False,only_in_file2
"Bertolli Pecorino tésztaszósz olívaolajjal, paradicsommal és juhsajttal 400 g",,,8712247232817.0,False,only_in_file2
"Bertolli Primavera tésztaszósz olívaolajjal, paradicsommal és grillezett paprikával 400 g",,,8712247232794.0,False,only_in_file2
BiOrganik BIO kukoricadara 500 g,,,5999559310669.0,False,only_in_file2
BiOrganik bio spirulina tabletta étrend-kiegészítő 100 g,,,5999559312731.0,False,only_in_file2
BioTechUSA 100% Pure Whey bourbon vanília ízű fehérje italpor édesítőszerrel 454 g,,,5999076238316.0,False,only_in_file2
BioTechUSA 100% Pure Whey eper ízű fehérje italpor édesítőszerrel 454 g,,,5999076238330.0,False,only_in_file2
BioTechUSA 100% Pure Whey ízesített fehérje italpor édesítőszerrel 454 g,,,5999076238323.0,False,only_in_file2
"BioTechUSA Collagen limonádé ízű étrend-kiegészítő italpor hialuronsavval, C- és E-vitaminnal 300 g",,,5999076233915.0,False,only_in_file2
BioTechUSA Crispy fehérje szelet keksz darabokkal 40 g,,,5999076252299.0,False,only_in_file2
BioTechUSA Diet Shake Cookies & Cream ízű tejsavófehérje italpor 720 g,,,5999076240524.0,False,only_in_file2
BioTechUSA Diet Shake csokoládé ízű tejsavófehérje italpor 720 g,,,5999076240500.0,False,only_in_file2
BioTechUSA Energy Gel őszibarack ízű étrendkiegészítő gél 40 g,,,5999076251001.0,False,only_in_file2
BioTechUSA Mega Burner étrend-kiegészítő kapszula 90 db 72 g,,,5999076240760.0,False,only_in_file2
BioTechUSA Oat & Fruit Zero zabszelet áfonyával 70 g,,,5999076245079.0,False,only_in_file2
BioTechUSA Oat & Fruit kókusz ízű zabszelet 70 g,,,5999076223176.0,False,only_in_file2
BioTechUSA One-A-Day étrend-kiegészítő tabletta 100 db 149 g,,,5999076244737.0,False,only_in_file2
