product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
"Zelna Füredi Olaszrizling száraz fehérbor 13,5% 750 ml","Zelna Füredi Olaszrizling száraz fehérbor 13,5% 750 ml",5999887658709,5999887658976,different,3349.0,3549.0,200.0,feher-bor-190,feher-bor-249
Zott Jogobella laktózmentes élőflórás joghurt 150 g,Zott Jogobella laktózmentes élőflórás joghurt 150 g,4014500517360,4014500518855,different,158.0,158.0,0.0,laktozmentes-termekek-59,laktozmentes-75
"Tolle zsíros, félkemény trappista sajt","Tolle zsíros, félkemény trappista sajt",,2004840540014,gained_barcode,3731.0,490.0,-3241.0,kemeny-felkemeny-sajtok-35,kemeny-felkemeny-sajtok-87
Cukkini salátának való lédig,Cukkini salátának való lédig,8412276010560,,lost_barcode,249.75,259.75,10.0,uborka-16,uborka-63
Cékla lédig,Cékla lédig,5999562010655,,lost_barcode,44.9,46.9,2.0,gyokerzoldsegek-20,gyokerzoldsegek-67
DESPAR Premium extra szűz olívaolaj 750 ml,DESPAR Premium extra szűz olívaolaj 750 ml,8001300091899,,lost_barcode,6799.0,7139.0,340.0,ecet-olaj-citromle-97,ecet-olaj-citromle-161
DESPAR extra szűz olívaolaj 500 ml,DESPAR extra szűz olívaolaj 500 ml,8001300242147,,lost_barcode,2649.0,3149.0,500.0,ecet-olaj-citromle-97,ecet-olaj-citromle-161
"DESPAR fehérborecet szőlőmust-sűrítménnyel 5,5% 500 ml","DESPAR fehérborecet szőlőmust-sűrítménnyel 5,5% 500 ml",9100000052427,,lost_barcode,1199.0,1284.0,85.0,ecet-olaj-citromle-97,ecet-olaj-citromle-161
Fahéjas csiga,Fahéjas csiga,5998704372460,,lost_barcode,199.0,189.0,-10.0,edes-pekaru-29,edes-pekaru-82
Gyömbér lédig,Gyömbér lédig,2003611170016,,lost_barcode,559.8,478.8,-80.99999999999994,gyokerzoldsegek-20,gyokerzoldsegek-67
Hagymás paillasse 300 g,Hagymás paillasse 300 g,5998377300050,,lost_barcode,669.0,724.0,55.0,sos-pekaru-28,kenyerek-80
Jégsaláta db,Jégsaláta db,5859012122553,,lost_barcode,599.0,729.0,130.0,kaposztafelek-karfiol-brokkoli-21,kaposztafelek-karfiol-brokkoli-68
Karfiol db,Karfiol db,5999886187842,,lost_barcode,999.0,1249.0,250.0,kaposztafelek-karfiol-brokkoli-21,kaposztafelek-karfiol-brokkoli-68
Kovászos cipó,Kovászos cipó,5907377308249,,lost_barcode,549.0,594.0,45.0,kenyerek-27,kenyerek-80
