key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
3083681021950|bonduelle gold szuperédes morzsolt csemegekukorica 170 g,kg,-758.824,-20.84,Bonduelle Gold szuperédes morzsolt csemegekukorica 170 g,Bonduelle Gold szuperédes morzsolt csemegekukorica 170 g,3083681021950,03083681021950,619.0,490.0,g,g,170.0,170.0,3641.176,2882.353,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681024258|bonduelle gold szuperédes morzsolt kukorica 670 g,kg,-1090.6,-43.502,Bonduelle Gold szuperédes morzsolt kukorica 670 g,Bonduelle Gold szuperédes morzsolt kukorica 670 g,3083681024258,03083681024258,1429.0,949.0,g,g,570.0,670.0,2507.018,1416.418,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681031157|bonduelle bon menu barbeque vörösbab barbeque mártásban 430 g,kg,-520.93,-23.729,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,3083681031157,03083681031157,944.0,720.0,g,g,430.0,430.0,2195.349,1674.419,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083681032413|bonduelle gőzben párolt egész zöldbab 295 g,kg,-725.424,-23.673,Bonduelle gőzben párolt egész zöldbab 295 g,Bonduelle gőzben párolt egész zöldbab 295 g,3083681032413,03083681032413,904.0,690.0,g,g,295.0,295.0,3064.407,2338.983,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083681036800|bonduelle vapeur gyorsfagyasztott zöldborsó 400 g,kg,-100.0,-3.85,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,3083681036800,03083681036800,1039.0,999.0,g,g,400.0,400.0,2597.5,2497.5,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083681043716|bonduelle gőzben párolt vörösbab 310 g,kg,-722.581,-24.508,Bonduelle gőzben párolt vörösbab 310 g,Bonduelle gőzben párolt vörösbab 310 g,3083681043716,03083681043716,914.0,690.0,g,g,310.0,310.0,2948.387,2225.806,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083681043815|bonduelle gold chili morzsolt csemegekukorica paprikával és chilivel 310 g,kg,-145.161,-4.767,Bonduelle Gold Chili morzsolt csemegekukorica paprikával és chilivel 310 g,Bonduelle Gold Chili morzsolt csemegekukorica paprikával és chilivel 310 g,3083681043815,03083681043815,944.0,899.0,g,g,310.0,310.0,3045.161,2900.0,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681129885|bonduelle gold prémium szuperédes morzsolt csemegekukorica 340 g,kg,-736.791,-20.21,Bonduelle Gold Prémium szuperédes morzsolt csemegekukorica 340 g,Bonduelle Gold Prémium szuperédes morzsolt csemegekukorica 340 g,3083681129885,03083681129885,1039.0,989.0,g,g,285.0,340.0,3645.614,2908.824,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681129915|bonduelle gold prémium szuperédes kukorica 170 g,kg,-1398.319,-28.208,Bonduelle Gold Prémium szuperédes kukorica 170 g,Bonduelle Gold Prémium szuperédes kukorica 170 g,3083681129915,03083681129915,694.0,605.0,g,g,140.0,170.0,4957.143,3558.824,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
"3083681139716|bonduelle good lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g",kg,-1600.0,-25.173,"Bonduelle Good Lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g","Bonduelle Good Lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g",3083681139716,03083681139716,1589.0,1189.0,g,g,250.0,250.0,6356.0,4756.0,keszetelek-217,Speciális|Vegetáriánus és vegán|Készételek|Készételek
