key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3574661331157|o.b. procomfort super plus tampon 16 db,kg,1333.333,7.147,o.b. ProComfort Super Plus tampon 16 db,o.b. ProComfort Super Plus tampon 16 db,3574661331157,3574661331157,1679.0,1799.0,g,g,90.0,90.0,18655.556,19988.889,intim-higienia-306,noi-kozmetikum-higienia-205
3574661331164|o.b. procomfort super tampon 16 db,kg,1923.077,7.942,o.b. ProComfort Super tampon 16 db,o.b. ProComfort Super tampon 16 db,3574661331164,3574661331164,1574.0,1699.0,g,g,65.0,65.0,24215.385,26138.462,intim-higienia-306,noi-kozmetikum-higienia-205
3574661350134|o.b. original normal tampons 16 pcs,db,15.0,19.063,o.b. Original Normal Tampons 16 pcs,o.b. Original Normal Tampons 16 pcs,3574661350134,3574661350134,1259.0,1499.0,db,db,16.0,16.0,78.688,93.688,intim-higienia-306,noi-kozmetikum-higienia-205
3574661350141|o.b. original super tampon 16 db,kg,3692.308,19.063,o.b. Original Super tampon 16 db,o.b. Original Super tampon 16 db,3574661350141,3574661350141,1259.0,1499.0,g,g,65.0,65.0,19369.231,23061.538,intim-higienia-306,noi-kozmetikum-higienia-205
3574661486147|carefree cotton feel normal tisztasági betét aloe vera illattal 30 db,kg,1653.333,12.718,Carefree Cotton Feel normal tisztasági betét aloe vera illattal 30 db,Carefree Cotton Feel normal tisztasági betét aloe vera illattal 30 db,3574661486147,3574661486147,975.0,1099.0,g,g,75.0,75.0,13000.0,14653.333,intim-higienia-306,noi-kozmetikum-higienia-205
"3600524029562|l´oréal paris elseve hyaluron plump akár 72 órán át hidratáló sampon hialuronsavval, 250 ml",l,1700.0,27.001,"L´oréal Paris Elseve Hyaluron Plump akár 72 órán át hidratáló sampon hialuronsavval, 250 ml","L´oréal Paris Elseve Hyaluron Plump akár 72 órán át hidratáló sampon hialuronsavval, 250 ml",3600524029562,3600524029562,1574.0,1999.0,ml,ml,250.0,250.0,6296.0,7996.0,hajsampon-301,hajapolas-202
3800020418604|kitkat chunky földimogyorós krémmel bevont ropogós ostya tejcsokoládéban 42 g,kg,3571.429,40.65,KitKat Chunky földimogyorós krémmel bevont ropogós ostya tejcsokoládéban 42 g,KitKat Chunky földimogyorós krémmel bevont ropogós ostya tejcsokoládéban 42 g,3800020418604,3800020418604,369.0,519.0,g,g,42.0,42.0,8785.714,12357.143,csokolade-175,ostya-napolyi-161
3800205870517|maretti sült fokhagyma ízesítésű pirított kétszersült karikák 70 g,kg,500.0,6.206,Maretti sült fokhagyma ízesítésű pirított kétszersült karikák 70 g,Maretti sült fokhagyma ízesítésű pirított kétszersült karikák 70 g,3800205870517,3800205870517,564.0,599.0,g,g,70.0,70.0,8057.143,8557.143,ropi-perec-sos-kekszek-190,sos-keksz-151
"3800205875109|maretti paradicsom, olíva és oregánó ízesítésű pirított kétszersült karikák 70 g",kg,500.0,6.206,"Maretti paradicsom, olíva és oregánó ízesítésű pirított kétszersült karikák 70 g","Maretti paradicsom, olíva és oregánó ízesítésű pirított kétszersült karikák 70 g",3800205875109,3800205875109,564.0,599.0,g,g,70.0,70.0,8057.143,8557.143,ropi-perec-sos-kekszek-190,sos-keksz-151
"3800233070033|riceup! eat smart teljes kiőrlésű puffasztott rizs barna rizzsel, chia maggal és quinoával 120 g",kg,300.0,6.679,"RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs barna rizzsel, chia maggal és quinoával 120 g","RiceUp! Eat Smart teljes kiőrlésű puffasztott rizs barna rizzsel, chia maggal és quinoával 120 g",3800233070033,3800233070033,539.0,575.0,g,g,120.0,120.0,4491.667,4791.667,tortilla-pita-ketszersult-85,muzli-es-egyeb-szelet-78
