key,stores_present,base_unit,min_store,max_store,min_base_price,max_base_price,diff,pct_diff,names_by_store,barcodes_by_store,unit_prices_by_store,unit_steps_by_store,categories_by_store
"monster juiced bad apple szénsavas energiaital gyümölcslével, koffeinnel 500 ml",Prima;Spar;Tesco,l,Prima,Spar,1098.0,1358.0,260.0,23.679,"Prima=Monster Juiced Bad Apple szénsavas energiaital gyümölcslével, koffeinnel 500 ml; Spar=Monster Juiced Bad Apple szénsavas energiaital gyümölcslével, koffeinnel 500 ml; Tesco=Monster Juiced Bad Apple szénsavas energiaital gyümölcslével, koffeinnel 500 ml",Prima=5056784916742; Spar=5056784916742; Tesco=05056784916742,Prima=549.0; Spar=679.0; Tesco=599.0,Prima=500.0 ml; Spar=500.0 ml; Tesco=500.0 ml,Prima=energiaital-sportital-177; Spar=energiaital-204; Tesco=Italok|Üdítőitalok|Energia- és sportitalok|Energiaitalok
"garage hard lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml",Spar;Tesco,l,Tesco,Spar,1372.5,1697.5,325.0,23.679,"Spar=Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml; Tesco=Garage Hard Lemon citrom ízesítésű ízesített maláta sör 4,5 400 ml",Spar=5900014021976; Tesco=05900014230033,Spar=679.0; Tesco=549.0,Spar=400.0 ml; Tesco=400.0 ml,"Spar=izesitett-sor-236; Tesco=Italok|Sör, cider|Ízesített Sörök|Ízesített Sörök"
"garage hard strawberry epres margarita ízesítésű ízesített maláta sör 4,5% 400 ml",Spar;Tesco,l,Tesco,Spar,1372.5,1697.5,325.0,23.679,"Spar=Garage Hard Strawberry epres margarita ízesítésű ízesített maláta sör 4,5% 400 ml; Tesco=Garage Hard Strawberry epres margarita ízesítésű ízesített maláta sör 4,5% 400 ml",Spar=5900014230040; Tesco=05900014230040,Spar=679.0; Tesco=549.0,Spar=400.0 ml; Tesco=400.0 ml,"Spar=izesitett-sor-236; Tesco=Italok|Sör, cider|Sörkülönlegességek|Különleges világos sörök"
cerbona müzli max csokoládés-karamellás müzliszelet 30 g,Prima;Spar;Tesco,kg,Tesco,Prima,9300.0,11500.0,2200.0,23.656,Prima=Cerbona Müzli Max csokoládés-karamellás müzliszelet 30 g; Spar=Cerbona Müzli Max csokoládés-karamellás müzliszelet 30 g; Tesco=Cerbona Müzli Max csokoládés-karamellás müzliszelet 30 g,Prima=5998400313064; Spar=5998400313064; Tesco=05998400313064,Prima=345.0; Spar=324.0; Tesco=279.0,Prima=30.0 g; Spar=30.0 g; Tesco=30.0 g,"Prima=muzli-es-egyeb-szelet-78; Spar=muzli-granola-133; Tesco=Alapvető élelmiszerek|Gabona- és kukoricapelyhek, müzli|Gabonapehely- és müzliszeletek|Müzliszeletek"
cerbona müzli max epres-csokoládés müzliszelet 30 g,Prima;Spar;Tesco,kg,Tesco,Prima,9300.0,11500.0,2200.0,23.656,Prima=Cerbona Müzli Max epres-csokoládés müzliszelet 30 g; Spar=Cerbona Müzli Max epres-csokoládés müzliszelet 30 g; Tesco=Cerbona Müzli Max epres-csokoládés müzliszelet 30 g,Prima=5998400313125; Spar=5998400313125; Tesco=05998400313125,Prima=345.0; Spar=324.0; Tesco=279.0,Prima=30.0 g; Spar=30.0 g; Tesco=30.0 g,"Prima=muzli-es-egyeb-szelet-78; Spar=muzli-granola-133; Tesco=Alapvető élelmiszerek|Gabona- és kukoricapelyhek, müzli|Gabonapehely- és müzliszeletek|Müzliszeletek"
cerbona müzli max málnás-citromos müzliszelet 30 g,Prima;Spar;Tesco,kg,Tesco,Prima,9300.0,11500.0,2200.0,23.656,Prima=Cerbona Müzli Max málnás-citromos müzliszelet 30 g; Spar=Cerbona Müzli Max málnás-citromos müzliszelet 30 g; Tesco=Cerbona Müzli Max málnás-citromos müzliszelet 30 g,Prima=5998400313095; Spar=5998400313095; Tesco=05998400313095,Prima=345.0; Spar=324.0; Tesco=279.0,Prima=30.0 g; Spar=30.0 g; Tesco=30.0 g,"Prima=muzli-es-egyeb-szelet-78; Spar=muzli-granola-133; Tesco=Alapvető élelmiszerek|Gabona- és kukoricapelyhek, müzli|Gabonapehely- és müzliszeletek|Müzliszeletek"
cerbona müzli max mogyorós-karamellás müzliszelet 30 g,Prima;Spar;Tesco,kg,Tesco,Prima,9300.0,11500.0,2200.0,23.656,Prima=Cerbona Müzli Max mogyorós-karamellás müzliszelet 30 g; Spar=Cerbona Müzli Max mogyorós-karamellás müzliszelet 30 g; Tesco=Cerbona Müzli Max mogyorós-karamellás müzliszelet 30 g,Prima=5998400313033; Spar=5998400313033; Tesco=05998400313033,Prima=345.0; Spar=324.0; Tesco=279.0,Prima=30.0 g; Spar=30.0 g; Tesco=30.0 g,"Prima=muzli-es-egyeb-szelet-78; Spar=muzli-granola-133; Tesco=Alapvető élelmiszerek|Gabona- és kukoricapelyhek, müzli|Gabonapehely- és müzliszeletek|Müzliszeletek"
diamant porcukor 500 g,Prima;Spar,kg,Spar,Prima,558.0,690.0,132.0,23.656,Prima=Diamant porcukor 500 g; Spar=Diamant porcukor 500 g,Prima=5998571551142; Spar=5998571551142,Prima=345.0; Spar=279.0,Prima=500.0 g; Spar=500.0 g,Prima=cukor-edesitoszer-121; Spar=cukor-169
hamé tonhalas pástétom 45 g,Spar;Tesco,kg,Tesco,Spar,6200.0,7666.667,1466.667,23.656,Spar=Hamé tonhalas pástétom 45 g; Tesco=Hamé tonhalas pástétom 45 g,Spar=8595139795108; Tesco=08595139795108,Spar=345.0; Tesco=279.0,Spar=45.0 g; Tesco=45.0 g,"Spar=halkonzerv-huskonzerv-melegszendvicskrem-212; Tesco=Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Tonhal"
univer reszelt torma 190 g,Prima;Spar;Tesco,kg,Tesco,Prima,4678.947,5784.211,1105.263,23.622,Prima=Univer reszelt torma 190 g; Spar=Univer reszelt torma 190 g; Tesco=Univer reszelt torma 190 g,Prima=5997010304363; Spar=5997010304363; Tesco=05997010304363,Prima=1099.0; Spar=995.0; Tesco=889.0,Prima=190.0 g; Spar=190.0 g; Tesco=190.0 g,"Prima=torma-112; Spar=ketchup-mustar-majonez-torma-224; Tesco=Alapvető élelmiszerek|Szószok, mártások, poralapok|Ketchup, mustár, torma, majonéz|Torma"
