key,base_unit,Spar_product_name,Spar_barcode,Spar_unit_price,Spar_unit_step,Spar_unit_type,Spar_base_price,Spar_categories,Prima_product_name,Prima_barcode,Prima_unit_price,Prima_unit_step,Prima_unit_type,Prima_base_price,Prima_categories,Tesco_product_name,Tesco_barcode,Tesco_unit_price,Tesco_unit_step,Tesco_unit_type,Tesco_base_price,Tesco_categories,min_store,max_store,pct_spread
baba sampon zsíros hajra zöldtea-kivonattal 400 ml,l,Baba sampon zsíros hajra zöldtea-kivonattal 400 ml,8710447462775,1259.0,400.0,ml,3147.5,szappanok-307,Baba sampon zsíros hajra zöldtea-kivonattal 400 ml,8710447462775,1799.0,400.0,ml,4497.5,hajapolas-202,Baba sampon zsíros hajra zöldtea-kivonattal 400 ml,08710447462775,999.0,400.0,ml,2497.5,Drogéria|Hajápolás|Női samponok|Zsíros hajra,Tesco,Prima,80.08
nutella kenhető kakaós mogyorókrém 600 g,kg,Nutella kenhető kakaós mogyorókrém 600 g,8000500179864,2994.0,600.0,g,4990.0,kremek-149,Nutella kenhető kakaós mogyorókrém 600 g,8000500179864,3599.0,600.0,g,5998.333,mogyorokrem-107,Nutella kenhető kakaós mogyorókrém 600 g,08000500179864,1999.0,600.0,g,3331.667,"Alapvető élelmiszerek|Lekvár, méz és mogyorókrém|Mogyorókrémek|Mogyorókrémek",Tesco,Prima,80.04
silan aromatherapy magic magnolia textilöblítő koncentrátum 50 mosás 1100 ml,l,Silan Aromatherapy Magic Magnolia textilöblítő koncentrátum 50 mosás 1100 ml,9000101584608,1574.0,1100.0,ml,1430.909,oblito-266,Silan Aromatherapy Magic Magnolia textilöblítő koncentrátum 50 mosás 1100 ml,9000101584608,2299.0,1100.0,ml,2090.0,oblito-217,Silan Aromatherapy Magic Magnolia textilöblítő koncentrátum 50 mosás 1100 ml,09000101584608,1279.0,1100.0,ml,1162.727,"Háztartás|Mosás|Öblítők|Elixír, koncentrátum",Tesco,Prima,79.75
"head & shoulders citrus fresh korpásodás elleni sampon, 400ml",l,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 400ml",5011321336032,2624.0,400.0,ml,6560.0,hajsampon-301,"Head & Shoulders Citrus Fresh  Korpásodás Elleni Sampon, 400ml",5011321336032,3999.0,400.0,ml,9997.5,hajapolas-202,"Head & Shoulders Citrus Fresh Korpásodás Elleni Sampon, 400ml",05011321336032,2229.0,400.0,ml,5572.5,Drogéria|Hajápolás|Női samponok|Normál hajra,Tesco,Prima,79.408
head & shoulders menthol fresh sampon 400ml,l,Head & Shoulders Menthol Fresh sampon 400ml,5011321336094,2624.0,400.0,ml,6560.0,hajsampon-301,Head & Shoulders Menthol Fresh sampon 400ml,5011321336094,3999.0,400.0,ml,9997.5,hajapolas-202,Head & Shoulders Menthol Fresh sampon 400ml,05011321336094,2229.0,400.0,ml,5572.5,Drogéria|Hajápolás|Női samponok|Normál hajra,Tesco,Prima,79.408
jar lemon folyékony mosogatószer. zsíroldó áztatás nélkül eltávolítja a zsíros szennyeződéseket900ml,l,Jar Lemon Folyékony Mosogatószer. Zsíroldó Áztatás Nélkül Eltávolítja A Zsíros Szennyeződéseket900ML,4015400795193,1249.0,900.0,ml,1387.778,mosogatoszerek-267,Jar Lemon Folyékony Mosogatószer. Zsíroldó Áztatás Nélkül Eltávolítja A Zsíros Szennyeződéseket900ML,4015400795193,2199.0,900.0,ml,2443.333,kezi-mosogatoszer-220,Jar Lemon Folyékony Mosogatószer. Zsíroldó Áztatás Nélkül Eltávolítja A Zsíros Szennyeződéseket900ML,04015400795193,1499.0,900.0,ml,1665.556,Háztartás|Mosogatáshoz|Kézi mosogatás|Mosogatószerek,Spar,Prima,76.061
"jar sensitive aloe vera & pink jasmine folyékony mosogatószer, kézkímélő 900 ml",l,"Jar Sensitive Aloe Vera & Pink Jasmine Folyékony Mosogatószer, Kézkímélő 900 ML",8001090975065,1249.0,900.0,ml,1387.778,mosogatoszerek-267,"Jar Sensitive Aloe Vera & Pink Jasmine Folyékony Mosogatószer, Kézkímélő 900 ML",8001090975065,2199.0,900.0,ml,2443.333,kezi-mosogatoszer-220,"Jar Sensitive Aloe Vera & Pink Jasmine Folyékony Mosogatószer, Kézkímélő 900 ML",08001090975065,1499.0,900.0,ml,1665.556,Háztartás|Mosogatáshoz|Kézi mosogatás|Kézkímélő,Spar,Prima,76.061
"jar sensitive chamomile & vitamin e folyékony mosogatószer, kézkímélő 900 ml",l,"Jar Sensitive Chamomile & Vitamin E Folyékony Mosogatószer, Kézkímélő 900 ML",4015400997542,1249.0,900.0,ml,1387.778,mosogatoszerek-267,"Jar Sensitive Chamomile & Vitamin E Folyékony Mosogatószer, Kézkímélő 900 ML",4015400997542,2199.0,900.0,ml,2443.333,kezi-mosogatoszer-220,"Jar Sensitive Chamomile & Vitamin E Folyékony Mosogatószer, Kézkímélő 900 ML",04015400997542,1499.0,900.0,ml,1665.556,Háztartás|Mosogatáshoz|Kézi mosogatás|Kézkímélő,Spar,Prima,76.061
"jar sensitive tea tree & mint folyékony mosogatószer, kézkímélő 900 ml",l,"Jar Sensitive Tea Tree & Mint Folyékony Mosogatószer, Kézkímélő 900 ML",4015400991434,1249.0,900.0,ml,1387.778,mosogatoszerek-267,"Jar Sensitive Tea Tree & Mint Folyékony Mosogatószer, Kézkímélő 900 ML",4015400991434,2199.0,900.0,ml,2443.333,kezi-mosogatoszer-220,"Jar Sensitive Tea Tree & Mint Folyékony Mosogatószer, Kézkímélő 900 ML",04015400991434,1499.0,900.0,ml,1665.556,Háztartás|Mosogatáshoz|Kézi mosogatás|Mosogatószerek,Spar,Prima,76.061
vöröskáposzta lédig,kg,Vöröskáposzta lédig,,187.6,400.0,g,469.0,kaposztafelek-karfiol-brokkoli-68,Vöröskáposzta lédig,,699.0,1000.0,g,699.0,zoldseg-37,Vöröskáposzta lédig,02820170000000,461.0,1155.388,g,399.0,Zöldség és gyümölcs|Zöldségek|Káposztafélék|Vöröskáposzta,Tesco,Prima,75.188
