index,category_id,name,display_name,url_category_path,parent_category_id,parent_url_category_path,depth,amounts,child_count,is_leaf,path,path_ids,image_url
342,forróItalok,"Forró ital, kávé, tea","Forró ital, kávé, tea",élelmiszer/ital/forró-ital-kávé-tea,Ital,élelmiszer/ital,2,462,3,false,"Élelmiszer > Ital > Forró ital, kávé, tea",Élelmiszer|Ital|forróItalok,https://cdn.metro-group.com/hu/hu_pim_95281001001_01.png
343,Káve_1739464951701,Kávé,Kávé,élelmiszer/ital/forró-ital-kávé-tea/kávé,forróItalok,élelmiszer/ital/forró-ital-kávé-tea,3,265,0,true,"Élelmiszer > Ital > Forró ital, kávé, tea > Kávé",Élelmiszer|Ital|forróItalok|Káve_1739464951701,https://cdn.metro-group.com/hu/hu_pim_151630001001_02.png
344,Tea,Tea,Tea,élelmiszer/ital/forró-ital-kávé-tea/tea,forróItalok,élelmiszer/ital/forró-ital-kávé-tea,3,161,0,true,"Élelmiszer > Ital > Forró ital, kávé, tea > Tea",Élelmiszer|Ital|forróItalok|Tea,https://cdn.metro-group.com/hu/hu_pim_861252001001_01.png
345,kakaóInstantItal,"Kakaó, instant ital","Kakaó, instant ital",élelmiszer/ital/forró-ital-kávé-tea/kakaó-instant-ital,forróItalok,élelmiszer/ital/forró-ital-kávé-tea,3,36,0,true,"Élelmiszer > Ital > Forró ital, kávé, tea > Kakaó, instant ital",Élelmiszer|Ital|forróItalok|kakaóInstantItal,https://cdn.metro-group.com/hu/hu_pim_112583001002_01.png
346,édessegEsSnack,Édesség és snack,Édesség és snack,élelmiszer/édesség-és-snack,Élelmiszer,élelmiszer,1,1133,7,false,Élelmiszer > Édesség és snack,Élelmiszer|édessegEsSnack,https://cdn.metro-group.com/hu/50210_kreati%CC%81vok_-_mshop_terme%CC%81kkatego%CC%81ria_-_e%CC%81desse%CC%81g_-_1000x1000_v1.png
347,Csokoláde_1739461767417,Csokoládé,Csokoládé,élelmiszer/édesség-és-snack/csokoládé,édessegEsSnack,élelmiszer/édesség-és-snack,2,332,3,false,Élelmiszer > Édesség és snack > Csokoládé,Élelmiszer|édessegEsSnack|Csokoláde_1739461767417,https://cdn.metro-group.com/hu/hu_pim_316092001001_02.png
348,Szeletek,Szeletek,Szeletek,élelmiszer/édesség-és-snack/csokoládé/szeletek,Csokoláde_1739461767417,élelmiszer/édesség-és-snack/csokoládé,3,96,0,true,Élelmiszer > Édesség és snack > Csokoládé > Szeletek,Élelmiszer|édessegEsSnack|Csokoláde_1739461767417|Szeletek,https://cdn.metro-group.com/hu/hu_pim_336076001001_02.png
349,Táblák,Táblák,Táblák,élelmiszer/édesség-és-snack/csokoládé/táblák,Csokoláde_1739461767417,élelmiszer/édesség-és-snack/csokoládé,3,131,0,true,Élelmiszer > Édesség és snack > Csokoládé > Táblák,Élelmiszer|édessegEsSnack|Csokoláde_1739461767417|Táblák,https://cdn.metro-group.com/hu/hu_pim_138847001001_02.png
350,Pralinek,"Pralinék, desszertek","Pralinék, desszertek",élelmiszer/édesség-és-snack/csokoládé/pralinék-desszertek,Csokoláde_1739461767417,élelmiszer/édesség-és-snack/csokoládé,3,105,0,true,"Élelmiszer > Édesség és snack > Csokoládé > Pralinék, desszertek",Élelmiszer|édessegEsSnack|Csokoláde_1739461767417|Pralinek,https://cdn.metro-group.com/hu/hu_pim_944461001001_02.png
351,édesKeksz,Édes keksz,Édes keksz,élelmiszer/édesség-és-snack/édes-keksz,édessegEsSnack,élelmiszer/édesség-és-snack,2,292,4,false,Élelmiszer > Édesség és snack > Édes keksz,Élelmiszer|édessegEsSnack|édesKeksz,https://cdn.metro-group.com/hu/hu_pim_149951001001_02.png
352,Keksz,Keksz,Keksz,élelmiszer/édesség-és-snack/édes-keksz/keksz,édesKeksz,élelmiszer/édesség-és-snack/édes-keksz,3,160,0,true,Élelmiszer > Édesség és snack > Édes keksz > Keksz,Élelmiszer|édessegEsSnack|édesKeksz|Keksz,https://cdn.metro-group.com/hu/hu_pim_490451001001_01.png
