store,product_name,barcode,unit_price,unit_step,unit_type,base_price,base_unit,reason,categories
Spar,"Canderel stevia növényből származó szteviol glikozid alapú asztali édesítőszer 120 db 10,2 g",7630486400662,1284.0,10.2,g,125882.353,kg,too_high,edesitoszerek-170
Tesco,Pattex Total gél 8 g,04015000427715,999.0,8.0,g,124875.0,kg,too_high,Otthon-hobbi|Barkácsolás|Ragasztás|Ragasztók és kiegészítők
Tesco,Paloma Gold Vanilla levegőillatosító 4 g,05997270799350,499.0,4.0,g,124750.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Paloma Gold New Car levegőillatosító 4 g,05997270799442,499.0,4.0,g,124750.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Paloma Gold Bubble Gum levegőillatosító 4 g,05997270799329,499.0,4.0,g,124750.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Paloma Gold Cherry levegőillatosító 4 g,05997270799404,499.0,4.0,g,124750.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Paloma Gold Romeo levegőillatosító 4 g,05997270799398,499.0,4.0,g,124750.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Spar,"Politur stevia édesítő tabletta 140 db 8,4 g",5997004752576,1015.0,8.4,g,120833.333,kg,too_high,edesitoszerek-170
Tesco,"Dr. Chen Patika Máriatövis Forte étrend-kiegészítő kapszula 60 db 27,6 g",05999561420578,3119.0,27.6,g,113007.246,kg,too_high,Drogéria|Patika|Vitaminok és étrendkiegészítők|Vitaminok és étrendkiegészítők
Tesco,"Politur stevia édesítő tabletta 140 db 8,4 g",05997004752576,949.0,8.4,g,112976.19,kg,too_high,Speciális|Hozzáadott cukor mentes|Édesítők|Édesítők
Tesco,"Life D3-vitamin 4000 NE Forte étrend-kiegészítő tabletta 120 db 26,4 g",05997951103353,2849.0,26.4,g,107916.667,kg,too_high,Drogéria|Patika|Vitaminok és étrendkiegészítők|Vitaminok és étrendkiegészítők
Tesco,"L'Oréal Paris Revitalift Új Glass Skin hidrogél, ragyogást adó arcmaszk 25 g",03600524259686,2689.0,25.0,g,107560.0,kg,too_high,"Drogéria|Bőrápolás|Arcápolás|Arcmaszkok, arcpakolás"
Spar,Durex Extra Safe óvszer 12 db,5010232964600,4619.0,45.0,g,102644.444,kg,too_high,ovszerek-sikositok-310
Spar,"1x1 Vitaday Magnézium + B6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g",,1059.0,10.35,g,102318.841,kg,too_high,egyeb-etrendkiegeszitok-vitaminok-152
Tesco,Pedigree DentaStix Daily Oral Care kiegészítő állateledel 4 hónapnál idősebb kutyáknak 8 db 1440 kg,05998749142899,6290.0,1440000.0,g,4.368,kg,too_low,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Fogápoló jutalomfalatok
Spar,"Férfi Dezodor, 2 ml, Old Spice Tomorrowland Special Edition 2026 Spray",8700216634243,1994.0,2.0,ml,997000.0,l,too_high,spray-dezodor-289
Spar,"Férfi Dezodor, 2 ml, Old Spice Tomorrowland Special Edition 2026 Stift",8700216685351,1994.0,2.0,ml,997000.0,l,too_high,golyos-stift-dezodor-291
Tesco,"Férfi Dezodor, 2 ml, Old Spice Tomorrowland Special Edition 2026 Spray",08700216634243,1869.0,2.0,ml,934500.0,l,too_high,"Drogéria|Férfi kozmetikumok|Izzadásgátló stiftek, golyós dezodorok|Izzadásgátló stiftek, golyós dezodorok"
Tesco,"Férfi Dezodor, 2 ml, Old Spice Tomorrowland Special Edition 2026 Stift",08700216685351,1869.0,2.0,ml,934500.0,l,too_high,"Drogéria|Férfi kozmetikumok|Izzadásgátló stiftek, golyós dezodorok|Izzadásgátló stiftek, golyós dezodorok"
Tesco,Panzi Fit Active Spot-On bolha- és kullancsriasztó macskák részére 5 x 1 ml,05998274308869,2919.0,5.0,ml,583800.0,l,too_high,Kisállat|Macskaeledelek & Kiegészítők|Ápolás|Élősködők elleni védelem
Tesco,Panzi Fit Active Spot-On bolha- és kullancsriasztó kutyák részére S 5 x 1 ml,05998274308821,2919.0,5.0,ml,583800.0,l,too_high,Kisállat|Kutyaeledelek & Kiegészítők|Ápolás|Élősködők elleni védelem
Tesco,Finish Citrom és Lime mosogatógép illatosító 4 ml,03141360054405,2199.0,4.0,ml,549750.0,l,too_high,Háztartás|Mosogatáshoz|Gépi mosogatás|Tisztító-és frissítőszerek
Tesco,Durex Intense stimuláló gél 10 ml,05997321771632,4999.0,10.0,ml,499900.0,l,too_high,Drogéria|Patika|Óvszerek|Óvszerek
Tesco,"Wunder-Baum Forest Fruit autó légfrissítő 4,5 ml",05999070314238,1999.0,4.5,ml,444222.222,l,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,"Wunder-Baum Sport légfrissítő 4,5 ml",05999070314245,1999.0,4.5,ml,444222.222,l,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,NIVEA Cellular Epigenetics bőrfiatalító szérum epicelline-nel 15 ml,09005800393889,6590.0,15.0,ml,439333.333,l,too_high,Drogéria|Bőrápolás|Arcápolás|Arckrémek
Tesco,L'Oréal Paris Revitalift Laser nappali ápoló a szemek alatti táskákra 15 ml,03600524186234,6499.0,15.0,ml,433266.667,l,too_high,Drogéria|Bőrápolás|Arcápolás|Arckrémek
Tesco,Neutrogena Retinol Boost szemkörnyékápoló 15 ml,03574661822372,5490.0,15.0,ml,366000.0,l,too_high,Drogéria|Bőrápolás|Arcápolás|Szemránc- és szemkörnyékápoló krémek
Tesco,NIVEA Q10 Energy ránctalanító szemkörnyékápoló 15 ml,04005900915900,4999.0,15.0,ml,333266.667,l,too_high,Drogéria|Bőrápolás|Arcápolás|Szemránc- és szemkörnyékápoló krémek
