store,basis,key,count,names,barcodes,unit_steps
Tesco,name,raid molyirtó gél levendula illattal 2 x 3 g (6 g),2,Raid molyirtó gél levendula illattal 2 x 3 g (6 g),04000290902851 | 05000204914979,6.0 g
Tesco,name,"ambi pur sevilla elektromos légfrissítő-utántöltő, 20ml",2,"Ambi Pur Sevilla Elektromos Légfrissítő-utántöltő, 20ml",08700216448161 | 08700216802338,20.0 ml
Tesco,name,corega erős rögzítés ízmentes műfogsorrögzítő krém 40 g,2,Corega Erős Rögzítés ízmentes műfogsorrögzítő krém 40 g,05054563203106 | 05999518587989,40.0 g
Tesco,name,"gillette blue3 plus comfort, eldobható borotva férfiaknak, 8 darabos kiszerelés",2,"Gillette Blue3 Plus Comfort, Eldobható Borotva Férfiaknak, 8 Darabos Kiszerelés",07702018489978 | 07702018536320,1.0 db
Tesco,name,discreet légáteresztő illatmentes tisztasági betétek,2,Discreet Légáteresztő illatmentes Tisztasági Betétek,04015400165804 | 08001090162038,1.0 db
Tesco,name,"gillette mach3 férfi borotva, 1 db gillette 3 pengés borotva, gillette borotvabetétek",2,"Gillette Mach3 Férfi Borotva, 1 db Gillette 3 Pengés Borotva, Gillette Borotvabetétek",07702018020676 | 07702018610181,1.0 db
Tesco,name,taft volume hajhab vékonyszálú hajra 200 ml,2,Taft Volume hajhab vékonyszálú hajra 200 ml,03838824083704 | 09000100728249,200.0 ml
Tesco,name,corega erős original enyhén mentolos műfogsorrögzítő krém 40 g,2,Corega Erős Original enyhén mentolos műfogsorrögzítő krém 40 g,05999518572060 | 05999518587583,40.0 g
Tesco,name,biorepair kids fogkrém 0-6 éves gyermekeknek 50 ml,2,Biorepair Kids fogkrém 0-6 éves gyermekeknek 50 ml,08017331035634 | 08017331095492,50.0 ml
Tesco,name,"oral-b pro-expert sensitive calm sensation fogkrém, 75 ml",2,"Oral-B Pro-Expert Sensitive Calm Sensation Fogkrém, 75 ml",08006530090445 | 08006530090773,75.0 ml
Tesco,name,"pampers fresh clean baby nedves törlőkendő, 4 csomag x 52 törlőkendő db baba nedves törlőkendő",2,"Pampers Fresh Clean Baby Nedves Törlőkendő, 4 Csomag x 52 Törlőkendő db Baba Nedves Törlőkendő",08006530098441 | 08700216783491,1.0 db
Tesco,name,"baby gold junior uniszex csecsemőpelenka méret: 6, 15-32 kg 35 db",2,"Baby Gold Junior uniszex csecsemőpelenka méret: 6, 15-32 kg 35 db",05999862553036 | 05999862553104,35.0 db
Tesco,name,"whiskas teljes értékű nedves eledel felnőtt macskáknak 12 x 85 g (1,02 kg)",2,"Whiskas teljes értékű nedves eledel felnőtt macskáknak 12 x 85 g (1,02 kg)",03065890154810 | 08410136025723,1020.0 g
Tesco,name,"prevital fillet selection nedves macskaeledel, macskatáp felnőtt macskáknak alutasakos 12 x 85 g",2,"PreVital Fillet Selection nedves macskaeledel, macskatáp felnőtt macskáknak alutasakos 12 x 85 g",05999566110115 | 05999566110184,1020.0 g
Tesco,name,whiskas pure delight teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),2,Whiskas Pure Delight teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),05900951303227 | 05900951303265,340.0 g
Tesco,name,purina gourmet mon petit intense teljes értékű állateledel felnőtt macskák számára 6 x 50 g (300 g),3,Purina Gourmet Mon Petit Intense teljes értékű állateledel felnőtt macskák számára 6 x 50 g (300 g),07613036620741 | 07613036620772 | 07613036620802,300.0 g
Tesco,name,shelma nedves macskaeledel felnőtt macskának gabonamentes párolt filé alutasakos macskatáp 12 x 85 g,2,Shelma nedves macskaeledel felnőtt macskának gabonamentes párolt filé alutasakos macskatáp 12 x 85 g,08595606406759 | 08595606406766,1020.0 g
Tesco,name,whiskas 1+ tasty mix teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),2,Whiskas 1+ Tasty Mix teljes értékű nedves eledel felnőtt macskáknak 4 x 85 g (340 g),04770608262709 | 04770608262716,340.0 g
Tesco,name,perfect fit natural vitality teljes értékű nedves eledel felnőtt macskáknak 6 x 50 g (300 g),2,Perfect Fit Natural Vitality teljes értékű nedves eledel felnőtt macskáknak 6 x 50 g (300 g),04770608259662 | 04770608259679,300.0 g
Tesco,name,sheba fresh & fine teljes értékű nedves eledel felnőtt macskáknak mártásban 6 x 50 g (300 g),2,Sheba Fresh & Fine teljes értékű nedves eledel felnőtt macskáknak mártásban 6 x 50 g (300 g),04770608260040 | 04770608260064,300.0 g
Tesco,name,pedigree vegyes válogatás teljes értékű nedves eledel felnőtt kutyák részére 4 x 100 g (400 g),2,Pedigree Vegyes Válogatás teljes értékű nedves eledel felnőtt kutyák részére 4 x 100 g (400 g),04770608261146 | 04770608261184,400.0 g
Tesco,name,trixie villogó labda,2,Trixie villogó labda,04011905336404 | 04011905336428,1.0 db
