store_product_id,product_name,barcode,normalized_unit_price,normalized_step,normalized_unit,tesco_actual,tesco_unit_price,tesco_measure,derived_step_from_tesco_unit_price,derived_unit,ratio,categories
220345337,Regina Delicate Gentle Feeling toalettpapír 3 rétegű 16 tekercs,08004260012959,1969.0,1.0,db,1969,123.1,each,15.995,db,15.995,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
220345339,Regina Delicate Refreshing Aloe toalettpapír 3 rétegű 16 tekercs,08004260013154,1969.0,1.0,db,1969,123.1,each,15.995,db,15.995,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
220345354,Regina Delicate Calming Chamomile toalettpapír 3 rétegű 16 tekercs,08004260013017,1969.0,1.0,db,1969,123.1,each,15.995,db,15.995,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
105001533,Springforce toalettpapír 2 rétegű 16 tekercs,05059944689289,1489.0,1.0,db,1489,93.1,each,15.994,db,15.994,Háztartás|Háztartási papír|Toalettpapír|2 rétegű
100686974,Deli öntapadó jegyzettömb 25 oldal,06935205304865,479.0,1.0,db,479,31.9,each,15.016,db,15.016,Otthon-hobbi|Iskolai és irodai kellékek|Irodaszerek|Irodai kiegészítők
117957504,Reikel 15 db-os mágneses bitkészlet,05054548730245,2199.0,15.0,db,2199,2199.0,each,1.0,db,15.0,Otthon-hobbi|Barkácsolás|Festés és egyéb barkács kiegészítők|Egyéb barkács kiegészítők
100686975,Deli A552 02 öntapadó jegyzettömb 15 lap,06935205318596,739.0,1.0,db,739,49.3,each,14.99,db,14.99,Otthon-hobbi|Iskolai és irodai kellékek|Irodaszerek|Irodai kiegészítők
100080633,Always Ultra Super Extra Egészségügyi Betét (3-as Méret) Szárnyas Betét x 14],08700216861052,1459.0,1.0,db,1459,104.2,each,14.002,db,14.002,Drogéria|Női higiénia|Intim betétek|Intim betétek
100877269,Addo Awesome Animals Farm Yard farm állatfigurák dobozban 13 db,05060460350195,4099.0,13.0,db,4099,4099.0,each,1.0,db,13.0,Otthon-hobbi|Játékok|Fiúknak|Fiúknak
100286621,Decorata Party Happy Birthday gyertyák,05201184091913,799.0,1.0,db,799,61.5,each,12.992,db,12.992,Otthon-hobbi|Party kellékek|Party kellékek|Party kellékek
100997519,BBQ steak kés és villa szett 12 db,08720573172677,2999.0,12.0,db,2999,2999.0,each,1.0,db,12.0,Otthon-hobbi|Kert és szabadtéri élet|Grillezés és szabadtéri főzés|Grillezés és szabadtéri főzés
