store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,"METRO Chef Hámozott Darabolt Paradicsom Paradicsomlében 2,55 kg",1650,g,2550,g,2550g,lecsopogtetett_konzerv,jellemzo
Metro,"Happy Frucht Hámozott Paradicsom Paradicsomlében 2,5 kg",1530,g,2500,g,2500g,lecsopogtetett_konzerv,jellemzo
Metro,"MUTTI Hámozott Paradicsom 2,5 kg",1650,g,2500,g,2500g,lecsopogtetett_konzerv,jellemzo
Metro,MUTTI Hámozott Paradicsom 800 g,520,g,800,g,800g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht Kockázott Paradicsom 400 g,240,g,400,g,400g,lecsopogtetett_konzerv,jellemzo
Metro,MUTTI Darabolt Paradicsom 400 g,260,g,400,g,400g,lecsopogtetett_konzerv,jellemzo
Metro,Bonduelle Gold morzsolt csemegekukorica 440 g,390,g,440,g,440g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht vörös kidney bab 400 g,240,g,400,g,400g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht csicseriborsó 400 g,240,g,400,g,400g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht lencse 400 g,240,g,400,g,400g,lecsopogtetett_konzerv,jellemzo
Metro,METRO Chef Magozott Zöld Olajbogyó Sós Lében 720 g,350,g,690,g,720g,lecsopogtetett_konzerv,jellemzo
Metro,METRO Chef Mandulával Töltött Magozott Zöld Olajbogyó Sós Lében 720 g,400,g,685,g,720g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht szeletelt zöld spanyol olajbogyó 935 g,525,g,935,g,935g,lecsopogtetett_konzerv,jellemzo
Metro,Citres szárított paradicsom napraforgóolajban 290 g,168,g,290,g,290g,lecsopogtetett_konzerv,jellemzo
Metro,Il Conte Fetával Töltött Paprika Édes 250g,140,g,250,g,250g,lecsopogtetett_konzerv,jellemzo
Metro,Il Conte Fetával Töltött Paprika Csípős 250 g,140,g,250,g,250g,lecsopogtetett_konzerv,jellemzo
Metro,METRO Chef fokhagyma napraforgóolajban 660g,435,g,660,g,660g,lecsopogtetett_konzerv,jellemzo
Metro,Eko vágott vegyes savanyúság 680 g,340,g,680,g,680g,lecsopogtetett_konzerv,jellemzo
Metro,Happy Frucht fehérboros káposzta 810 g,770,g,810,g,810g,lecsopogtetett_konzerv,jellemzo
Metro,Greenhouse görögös uborkasaláta savanyúság 680 g,360,g,680,g,680g,lecsopogtetett_konzerv,jellemzo
Metro,Greenhouse magyaros uborkasaláta savanyúság 680 g,360,g,680,g,680g,lecsopogtetett_konzerv,jellemzo
Metro,Beach Flower spanyol kapribogyó 100 g,60,g,100,g,100g,lecsopogtetett_konzerv,jellemzo
Metro,"Atlantik Tonhal Darabok Növényi Olajban 1,7 kg",1260,g,1700,g,1700g,lecsopogtetett_konzerv,jellemzo
Metro,TWIST tonhaltörzs napraforgóolajban 4 x 80 g (320 g),320,g,338,g,320g,lecsopogtetett_konzerv,api
Metro,TWIST tonhaltörzs natúr lében 4 x 80 g (320 g),320,g,338,g,320g,lecsopogtetett_konzerv,api
Metro,"Atlantik tonhal darabok pikáns, zöldséges mártásban 185 g",190,g,185,g,185g,egyeb,jellemzo
Metro,RIO mare Insalatissime zöldséges készétel tonhallal 2 x 160 g,160,g,320,g,160g,lecsopogtetett_konzerv,api
Metro,RIO mare Insalatissime zöldséges készétel tonhallal 2 x 160 g,160,g,320,g,160g,lecsopogtetett_konzerv,api
Metro,"FEIND BOLLICINE Gyöngyöző Fehér 10,5% 750 ml",750,ml,500,ml,750ml,egyeb,api
Metro,La Fiesta Édes Élmény Édes Rosé bor 10% 750 ml,750,ml,500,ml,750ml,egyeb,api
Metro,La Fiesta Édes Élmény Édes Rosé bor 10% 6 x 750 ml,750,ml,500,ml,750ml,egyeb,api
Metro,ST. HUBERTUS Vérnarancs likőr 32% 700 ml,700,ml,500,ml,700ml,egyeb,api
