store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,534111,"HÚSMESTER Sertéscomb darabolt, vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/0a005ac57742ba22.jpg
Aldi,540636,"BBQ Berni virsli mini, 250 g",287.526,g,nev_elteres,250.0,g,review,"nev szerint 250 g, API szerint 287.526 g (elteres 13%)",data/markets_data/product_images/aldi/8f2f9a890594edea.jpg
Aldi,4606114,"HÚSMESTER Egész pecsenyekacsa belsőséggel, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,
Aldi,566792,"MASTER GOOD Csirkemellfilé GMO-mentes, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/4c158bd8065935df.jpg
Aldi,541890,"Csécsi szalonna, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/47deebd4c31d0e2c.jpg
Aldi,541889,"Iberico füstölt szalonna, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/fdeb9aeea2ad9f8d.jpg
Aldi,4604643,"HÚSMESTER Pecsenyekacsa comb, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/aed5bf2a8b5d0471.jpg
Aldi,537349,Kolozsvári szalonna /kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e0d6608a61c75aba.jpg
Aldi,4604642,"HÚSMESTER Pecsenyekacsa mellfilé bőrrel, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e0d01e6cb8b2b1bf.jpg
Aldi,757829,"SNACK FUN Party-mix csemege csípős mogyoró-kukorica, 200 g",217.0,g,nev_elteres,200.0,g,review,"nev szerint 200 g, API szerint 217.0 g (elteres 8%)",data/markets_data/product_images/aldi/ab8b135f2e53ee65.jpg
Aldi,534052,AZON MELEGÉBEN Mexikói párna helyben sütött 100 g,85.0,g,nev_elteres,100.0,g,review,"nev szerint 100 g, API szerint 85.0 g (elteres 15%)",data/markets_data/product_images/aldi/569000d8b0527c3e.jpg
Aldi,812152,"MILFINA Traunsteini nagylyukú füstölt sajt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/5690e2bb3cc4968b.jpg
Aldi,952002,"MILFINA Traunsteini standard füstölt sajt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/33cc3bc65d405a14.jpg
Aldi,900136,"MILSANI Joghurtos ital vegyes gyümölcs, 10 x 100 g",600.0,g,nev_elteres,1000.0,g,review,"nev szerint 1000 g, API szerint 600.0 g (elteres 40%)",
Aldi,900137,"MILSANI Joghurtos ital eper, 10 x 100 g",600.0,g,nev_elteres,1000.0,g,review,"nev szerint 1000 g, API szerint 600.0 g (elteres 40%)",
Aldi,534903,"KOKÁRDÁS Trappista sajt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/9833a6fe21013a39.jpg
Aldi,902339,TOLLE Trappista sajt / kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/d104c6f40245cc77.jpg
Aldi,541178,"BONLÀ Olasz keménysajt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/fe9c652ffbc2b2fc.jpg
