store_name,store_product_id,product_name,korrekcio_tipus,eredeti_mennyiseg,eredeti_egyseg,javitott_mennyiseg,javitott_egyseg,indok,forras
Auchan,22975:22978,Cukkini lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,4006:4006,Padlizsán lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,22654:22657,Cékla lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X7613500320021,Friss Csirkemellfilé,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X80488100320021,Friss Tanyasi Csirkemellfilé Védőgázas Csomagolásban,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X8670600320021,"Friss Csirkecomb, Csont és Bőr Nélkül kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X5529400320021,"Friss Csirkemáj, Import kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18787500320021,METRO Chef Egész Csirkecomb Farrésszel Tálca,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18787600320021,"Metro Chef Friss Csirke Alsócomb Tálcás Kiszerelés kb. 2,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18787700320021,"Metro Chef Friss Csirke Felsőcomb Tálcás Kiszerelés kb. 2,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18787800320021,"Metro Chef Friss Csirke Szárny Tálcás Kiszerelés kb. 2,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18788100320021,"Metro Chef Friss Csirkemellfilé Belső Filé Nélkül Tálcás Kiszerelés kb. 2,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18788200320021,"Metro Chef Friss Csirke Bőrös Felsőcombfilé Tálcás Kiszerelés kb. 2,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X5529100320021,Friss 2 Ízületes Csirkeszárny,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4339900320021,Friss Vákuumcsomagolt Csirkefarhát kg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4344100320021,"Friss Magyar Csirkemellfilé, Vákuumcsomagolt kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X8671800320021,Friss Csirkecombfilé Bőrrel kg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
