barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
5999033865029,"S-Budget hántolt, pörkölt, sózott napraforgómag 100 g","S-Budget hántolt, pörkölt, sózott napraforgómag 100 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,314.0,314.0
5999033898621,S-Budget natúr mandula 200 g,S-Budget natúr mandula 200 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1274.0,1274.0
5999033897310,"S-Budget pirított, héjas napraforgómag 200 g","S-Budget pirított, héjas napraforgómag 200 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,370.0,370.0
5999033897303,"S-Budget pirított, sózott héjas tökmag 200 g","S-Budget pirított, sózott héjas tökmag 200 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,744.0,744.0
5999033867528,"S-Budget pörkölt, hántolt, sózott földimogyoró 500 g","S-Budget pörkölt, hántolt, sózott földimogyoró 500 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1189.0,1189.0
5999033894487,"S-Budget pörkölt, héjas földimogyoró 300 g","S-Budget pörkölt, héjas földimogyoró 300 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,730.0,730.0
9100000157184,"S-Budget pörkölt, sótlan kesudió 150 g","S-Budget pörkölt, sótlan kesudió 150 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,944.0,944.0
9100000703992,"S-Budget pörkölt, sótlan pisztácia 200 g","S-Budget pörkölt, sótlan pisztácia 200 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1595.0,1595.0
9100000690049,"S-Budget pörkölt, sózott kesudió 150 g","S-Budget pörkölt, sózott kesudió 150 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,944.0,944.0
9100000785271,"S-Budget sós, pörkölt pisztácia 200 g","S-Budget sós, pörkölt pisztácia 200 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1595.0,1595.0
5999033882750,"SPAR Snack-Mix hagymás-tejfölös földimogyoró, tökmag és mandula keveréke 250 g","SPAR Snack-Mix hagymás-tejfölös földimogyoró, tökmag és mandula keveréke 250 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1229.0,1229.0
5999033898997,SPAR egzotikus Diákcsemege szárított gyümölcsök és diófélék keveréke 200 g,SPAR egzotikus Diákcsemege szárított gyümölcsök és diófélék keveréke 200 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1324.0,1324.0
3858887585106,"Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 0,5 l","Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 0,5 l",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,659.0,659.0
3858887584949,"Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml","Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,619.0,619.0
3858887584925,"Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l","Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,619.0,619.0
3858887585069,"Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,5 l","Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,5 l",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,659.0,659.0
3858887585182,"Somersby cider málna és lime ízesítéssel 4.5%, 330 ml","Somersby cider málna és lime ízesítéssel 4.5%, 330 ml",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,619.0,619.0
3858887585670,"Somersby körte cider körtelé alapú szénsavas alkoholos ital 4,5% 330 ml","Somersby körte cider körtelé alapú szénsavas alkoholos ital 4,5% 330 ml",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,619.0,619.0
5942105011527,"Strongbow Red Berries cider piros bogyós gyümölcs ízesítéssel 4,5% 330 ml","Strongbow Red Berries cider piros bogyós gyümölcs ízesítéssel 4,5% 330 ml",alkoholmentes-sor-234,tojas-238,alkoholmentes-sor,tojas,554.0,554.0
8410352006162,Abaco Pomace Blend olívapogácsa-olaj és napraforgóolaj keveréke 1000 ml,Abaco Pomace Blend olívapogácsa-olaj és napraforgóolaj keveréke 1000 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2519.0,2414.0
5999538341943,Athena olívapogácsa olaj 1 l,Athena olívapogácsa olaj 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,3149.0,3149.0
8041790200128,Bertolli Cucina olívaolaj 500 ml,Bertolli Cucina olívaolaj 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4409.0,4409.0
8000606000130,Bertolli Originale extra szűz olívaolaj 250 ml,Bertolli Originale extra szűz olívaolaj 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,3149.0,3149.0
